label,text
1,"Well since I used to live across from this place I always came here... but theres a BEAUTIFUL newer one just on Trop. It has shiz you need, and then some. I dont have a car so they would allow me to take the cart home when I had waters and such (ghetto, I KNOW!) But shooooot you gotta do whatchu gotta do!\n\nI did go there one night at like 7:59 and he beezy at the counter wouldnt make me a money order because she said the computer automattically closes down at 8pm... Her drawer was alwaready counted and the pc was already shut down BEFORE 8! Shes lucky I didnt get all ghetto on her gringa ace! \n\nAnyway, dont come here... go to the one on Trop!"
4,"Great event!\n\nThe only real problem is the time if the year. It's a little too hot, but I'm rating the event and not the weather.\n\nThis is by far one of the best Las Vegas beer festivals because of the location. It's nice to get a beer from a tent and then walk around before coming up on another tent. You really get to enjoy the beer at that point. The scenery at the Springs Preserve is something to enjoy as well.\n\nBlues entertainment goes on through the whole event. That part of the amphitheater is set up right next to a bunch of beer tents, which makes it nice to be able to grab a beer and then sit down on a blanket to listen to some music.\n\nThere is plenty of beer at this festival and many tents, so no real fear of long lines and empty cups. It can be difficult to navigate the beer map if you have never been to the Springs Preserve; however, that's part of the adventure. Many of the local breweries bring out some special beers or beers made just for the festival which make for some unique offerings.\n\nThere are different food spots located around the fest---whether it's a restaurant booth, a food truck, or some standard vendor BBQ. \n\nOne word of advice, HYDRATION!!!!! It's hot and there is great beer, but drink tons of water"
1,"Il Fornaio - New York, New York Casino \n\nWe have been to and heard of many Il Fornaio locations and we wanted to grab a quick Panino and a bowl of soup at the mid day mark to hold us over until later on. \n\nWe shared a Salami Panino (Panini is plural before you criticize....) & also a bowl of the lentil soup. \n\nI have to say.... OK at best is being nice.... \nThe panino came in a plastic wrapper and had little to no taste... also we found out as we were leaving that we could have had it toasted... hello... that's the idea.... The soup came in a cardboard \""to-go\"" container and was again just ok... and it was warm at best... \n\nJust not what I would expect from NY, NY and spending $15.... just not overly pleased with this. I guess when the bread they used hit the water we drank it expanded like an inner tube and we were full... \nMission accomplished.... I think...."
1,"Usually I'm a pretty big Mimi's Cafe fan. Usually... However, last night was a disappointment.\n\nOur server was friendly and attentive, however, my mom's calamari came out like 10 minutes before my dad's and my meal. That was her main meal. We encouraged her to start stabbing those rings, but she sat and waited for us. My dad ordered a side salad. Didn't come. Had to ask for it and then came, but after steak/fries arrival. I ordered Mediterranean salad w/Clam Chowder. I had to remind the server about my soup. Five minutes later, she came back empty-handed and announced they were out. That's fine - it wasn't meant to be.\n\nMy salad included their WONDERFUL muffins. Again, had to remind server about this crucial part, as I'm infatuated w/the Honey Bran muffins. I took it home and violated it.\n\nAbout 15-20 minutes upon departure, I had sharp stabbing pains in my chest area. I took 2 Tums and it took the edge off. Took 2 more. Finally gone. They must have tossed battery acid w/their vinaigrette?!? Smmhhh\n\nSorry, Mimi's - not gonna be back anytime soon."
1,"Lately the music at Char's has deteriorated. The same 2 or 3 same bands play every night. It wouldn't be quite as bad if the bands learned some new songs but they play the same thing the same way every night -- and every band plays almost the same song list of tunes. Do we really need to hear \""Car Wash\"" and \""Mustang Sally\"" 7 days a week?\n\nDon't get me wrong -- the bands that play at Char's are good bands, but all of them are in a terrible rut.\n\nChar's desperately needs some new blood with different music if they want to continue to have a steady clientele. Char's is becoming boring and predictable -- and that is no way to keep a business strong when many other places are offering a far more interesting music fare."
2,"Cosmos Cafe is yet another venue that is really a restaurant, but doubles as a nightlife hot spot on the weekends.  North Carolina's laws on serving alcohol make it nearly impossible to just open a \""club\"", so you see a lot of these in Charlotte, especially downtown.  \n\nThe staff is super friendly and doesn't hassle you for walking in and realizing \""Saturday night\"" hasn't started yet because the dining patrons still haven't cleared out.  So don't be afraid to check it at 11pm and then come back again at midnight or 1 if it's still slow.  I've never been here to eat but it's a great place to stop in for a late night weekend drink to see what's going on.  People dress nice and behave well.  So you can actually get an expensive drink and not worry about someone elbowing it across the room.  \n\nThere's plenty of seating on both the first and second floors and they have a respectable, if predictable, Scotch selection that helps me keep them in mind when I'm downtown, so I'm sure the rest of the liquor options are pretty good.  Coming from  Illinois where you can buy booze at grocery stores, it's depressing to walk into a bar in Charlotte and only have one or two choices.  Cosmos expands the horizons and I appreciate that."
4,Great service. Very friendly and helpful workers. They got my requests correct and very knowledgeable when I asked questions. My new location.
1,"We have been here twice now.  We were told about it from a friend and we are all about trying new places.  Ok, Food good - thank you for organic and fresh squeezed OJ.  \n\nHowever, your staff lacks personality and they seem to be  \""deer in the head lights\"". There is a difference between a Server and an Order taker. So, far both times we've had Order takers.  \""Hi, are you ready?\""  Opposed to:  Hello, how are you guys?  Have you been here before?  Let me tell you about our daily specials and let me recommend a few of my favorites. Nope, we got, are you ready? -- both times.  Going to the counter to pay, again no personality, lifeless humans standing there doing a job.  \n\nManager(s), you may want to wander around and do table checks. I can tell you want this place to do well, but, with your LIFELESS staff, it's going to be a stretch to be successful.  I mean --  jeez, even at Denny's we get some personality.  \n\nThere is no personality here -- zombies, taking orders and doing a \""job.\""  Just because your organic, doesn't mean you need have lifeless attitudes. \n\nSay hi, be fun, enjoy your customers, look people in the eye, check up on tables regularly, and when its time for your NEW Clients to pay their bills --  this is when you should be asking your NEW clientele, \""How was your experience?\"" \n\nWe will try your restaurant one more time, but if it's the same next time - No more repeat visits for us.  For those who know good service -- it won't take long for  people to spread the word.  So,  Are you amazing or below average?  You choose. \n\nRight now, Your below average. \n\nI hope you'll take this review and \""Step it up!\""  Its very fixable right now.  \n\nSee you next time......I pray you can \""step it up\"" and bring some personality to your service staff. Right now, it's stale."
0,"I used to visit this place often and buy pretty much everything there.. I stopped going because I sent my girlfriend in to grab me some supplies and she told me this guy was a twat to her, this was about 7 months ago, I went in and confirmed he is indeed a twat, a chubby twat at that. I have since being going to a place on 19th ave and Camelback. \n\nI decided to go in and give it another go.. Nope, still got a chubby bearded twat working. I stood in front of him for 15 min trying juices.. Not one word to me and when another employee was helping me, she asked him if they had anymore of ____ juice.  He said he didn't know, that she should look in the back. Really? No shit? In the back? Maybe she asked twat if they had any because he was just sitting on his ass.. I dunno. Just maybe.."
0,"Giving this one star is being nice. Absolutely dreadful food and some of the worst service I have ever experienced. At one point we had to get up and walk across the restaurant to get our watiress's attention just to refill our water glass. When we finally did get our food, it was bland and uninspired. Started with the wings, they were overcooked and too chewy. They only gave us one little cup of ranch for 8 wings and when we asked for more they said they had to charge us. I got the burger and it was ok but I have had much better at even fast food restaurants. My girlfriend got some salad that was dry, so to cover that up they drenched it in dressing. It was inedible, we sent it back. The best part about that is they still tried to charge us for it on the bill. We had to argue for about 20 min to get it off. First with the waitress, then the asst manager, and finally the general manager. Was charging us $11 for a salad we had two bites of really worth ruining a customer's experience? I guess to this establishment it is. The main reason we went was to watch a game and I was so turned off with them trying to nickel and dime us, I left in the third quarter and went to the zipp's up the street. Good setup with the tvs, but factoring in the below average food and the some of the most horrendous service I have ever experienced make Fox Sports Grill a place I wouldnt recommend to my own worst enemy."
2,"This is a good stop for travelers to grab cheap food and enjoy some drinks.  \n\nThey start off with a nice helping of chips and salsa.  The chips were an assortment of corn, fried dough like, and whole grain chips.  The salsa was nice and spicy, a great start.  We also ordered guacamole which was creamy and oniony.   \n\nWe came at the time the servers switched off and areas, so we had 3 different servers, but after we had our final server, he was courteous and took care of us.\n\nI had the desert fire pasta which was a big helping of spicy, cheesy penne pasta with shrimp.  It was really salty but still thought it was still good overall.\n\nMy co-worker had the fish tacos which was a nice large platter with black beans.  The sangria was delicious and you could have a choice of white or red."
3,"Crab in the micraddle of the desert?!!! \n\ni know - right?\n\nStill, the crab pots are great.  They show up at our table and there is a hush for about a half hour as we crack, crack, crack away.  Dungeness crabs are the best, being as I'm from the SF bay area I may be a bit prejudice, but try them all and just try to disagree with me, go ahead, do it.\n\nFried calamari was good.  \n\nAtmosphere is loud and fun.  I enjoy sitting at a table with a bucket right in the middle of the table for shell disposal.  Sat at a picnic bench their once and will NOT do that again, bum was sore afterwards.\n\nFriendly servers."
2,I love this place but without the owner being here the service sucks and the food sucks. I will be back like always but just hope they can get some consistency
0,"Really very disappointing experience. \n\n I got to the hotel at noon. They wanted $28 extra to check in before 3pm.  I refused, so I walked around the mall for a few hours then came back to check in.  No big deal, rules are rules.\n\nThe casino doesn't look like anything Hollywood.  It looks more like an abandoned set from a Beck video.  Leftover 70s glam, with the gold and rounded rectangles.  \n\nThey only offer free internet for only one device.  So I can use Wi-Fi on my laptop, but not on my phone or iPad.  Even McDonalds has free WiFi, I don't know why a big fancy hotel wouldn't.\n\nThey don't have any premium channels on TV.  Just Spike and Comedy Central.  This is Vegas, so you shouldn't be watching TV anyway, but I'm here on business so I am not going to be out partying.  I've stayed in dicey-ass weird motels in New Mexico that had better cable than Planet Hollywood.\n\nBut all of that was fine.  Cheap room, crappy amenities, right?  Well....\n\nAs I walked up to my room, the cleaning ladies were still in the hallway.  There was an empty 12 pack box of Pabst sitting in front of my door.  Nice, huh?  A sign of things to come.\n\nBoth the sheets and the comforter were stained.  There were huge 4\"" long orange dog hairs all over the room including on top of the comforter, and there was a weird Velcro mustache or something rolled up and thrown in the corner.  When I called to ask for new bedding, I got some attitude, and a comment that if there are extra people staying in the room they're going to charge me extra.  Nope, just me.  I didn't want EXTRA blankets, just CLEAN ones.  Just one person who doesn't want to sleep on top of someone else's stains and dog hair.  \n\nI've stayed at some really gross dive motels that were cleaner than this dump.  Pick a different hotel.  Do yourself a favor."
0,"Service was slow, eggs not crispy at edges and firm in center when ordering over hard.  I love oatmeal and this place charged more for it than starbucks next door.   Next doors starbucks had better tasting n consistency oatmeal at half the price.  The plates are large, but the food rather bland.   I just can't see eating here again.  I can see eating next door at Starbucks again.  Also, don't check in on yelp here.  The service are oblivious to the discount.  Overpriced place with bad food and a nice name.  I think it would have been healthier to not eat than eat here, despite the nice healthy name."
0,"Approaching 50 minutes into my wait, a sprint customer was playing on the tablets and appropriately decided to play \""Unchained melody\"" (ya know, with the lyric \""time goes by soo slowly\"") and I gave them a high five. Seriously. The two guys working this afternoon (Friday, April 11th) were the most unprofessional sales associates I've ever encountered. I understand that the phones were taking a while to switch over/ activate but their banter about what they wanted for lunch/dinner (they were deciding on glass nickel) and hearing how one of the guys working was about to stand up in his sisters wedding was too much for me. Waaaayyyy to much. I also heard all about the old sprint sales associate who just quit and how another pen called out to work today,\n\nNews flash-I came here to be waited on and get a new phone. Not hear about these guys personal lives. I wasn't even acknowledged as I walked into the store. \n\nI guess I don't get it. Where I work I keep my business to myself and I employ the tactic of multi tasking- not standing around discussing personal matters because whatever system that sets up phones was going slow.\n\nIt took them over an hour to tell me that activating my phone likely wouldn't happen today. I left immediately after. \n\nI won't be back-at least not the Middleton location. No way. No how. I totally get why they had an employee quit 3 days ago and another one call in sick. I'd quit or call in sick too if I worked here.\n\nGet your act together."
1,"Never had bad food or service but that was not the case at this location. \n\nWent in today for lunch. Ordered the Spicy Thai Chicken Salad and tea. \n\nThe server brought us our drinks but not all together. With very little ice, it was the only tea I drank, never asked about a refill. \n\nWe had to ask for a bread basket, which the flat bread was burnt. I'm surprised it was served to us, I know the guy dishing it out could tell, not sure why he still put it on the plate. \n\nMy salad came - appeared nice. Unfortunately the chicken was dry and there was no spice. The dressing is like a sour viniagrette, no kick there or really that much flavor.. then after digging into the salad, notice a lot of the lettuce had better days earlier that week. \n\nFinally saw the server again, we asked for the bill. \nWill try it out again, most likely another location."
0,"If I could I give no star, I would! Service was really really bad and racist! Food was overpriced and didn't taste good. This is one of the worst restaurant I have been too. Stay away!"
4,Been to this location three times and haven't had any significant problems so far. Chevy's has the best chips and salsa i've ever tasted and the food is delicious. Only complaint is that the restrooms don't have sensored towel dispensers. Not cool man.
4,"Yum! Burger is fantastic, and excited to try the tacos."
4,"I recently was in Little Italy and went to Impasto. Wow - absolutely outstanding!\nIt is hard to describe the food, a few words that come to mind are: incredible, delicious, addictive, fun, art!   \n\nArt - not in the looks (it looks ok), but in the taste, full of various delicious flavours in your mouth....\n\nService was excellent with an efficient and friendly waiter - well done !!!"
4,"Ice cream? What's that. You gotta try this place. It puts Ice cream to shame.  At first, I came here w/my brother and friend and I refused to eat there. I was stuffed. They bought a cup and gave me a spoon. It was sitting right there so I took a courtesy taste. Then another... then another... then another... Nielsen's wins. This tastes like ice cream but its soft and it tastes creamy. I can't even explain it other than you just need to try it once when you get chance. I promise you won't regret it."
0,I had the California burrito yesterday. And the potato's tasted raw and the meat tasted old and it was black. The only edible part of the burrito was the tortilla. I had a friend taste the burrito and he threw up from it. I was not happy. Not going back.
2,"I've been here a couple of times and have enjoyed both the food and ambience.  The sushi is pretty decent, nothing \""wow,\"" but fair for a joint so close to the university.  I like the high energy of the place: it's pretty small, but Yama packs in a lot of people into that small space....like sardines, one may say.  On my last visit, my friends and I ordered the Manwhore, the spicy salmon roll (forget the name), chicken teriyaki, and a few maki rolls.  All were served fairly quickly and the rolls looked fairly fresh, not too much rice and a decent amount of fish.  \n\nThe AYCE deal is probably a great one for those with bottomless pits for stomachs.  I'd love to do that, but alas!, I have a limited capacity in my tummy.  \n\nA solid place for one's sushi craving."
4,"Recently had dinner at the Culinary Dropout and was very impressed.  The ambiance just takes you to a different place and the menu is wonderful and varied.  I had the french onion soup and beef stroganoff.  Both very tasty although the onion soup was a little sweet for my palette.  We decided to follow up the meal with the carmel corn and wow, what a treat.  This is a fun restaurant and the food is good.  A great night out."
4,"Let me start by saying that since I heard about Pizza Cono almost two weeks ago, I have literally been talking about it nonstop. I've been telling everyone how excited I was to try a pizza cone. Everyone. I have been as giddy as a school girl (to an annoying degree. Just ask my boyfriend.)\n\nTonight was finally the night! Justin took me to Pizza Cono to try it out. There were two gentleman working behind the counter and they were super nice. It's clear that the restaurant is very new and still working out the kinks, the large menu they have posted has changed and we used a menu that was on a laptop. They will have printed menus soon. They have a a wide variety of different pizza cones to choose from, although they are still missing a few ingredients for some of the cones. I got a Pepperoni Cone (pepperoni, marinara & cheese) and Justin got the Mafia Cone (pepperoni, bacon, sausage, marinara & cheese) and they were both really good. The crust was warm, the cheese was melty (but not messy) and it was easy enough to eat. I think it would be nice to grab one and window shop on Murray or Forbes. They were made-to-order and took about 10 minutes to come out, which was a little longer than I expected and I do worry about the timing if they were busier. \n\nFor dessert, we each got a Nutella Cone, which was similar to the Pizza Cones, but was a puff pastry-eque cone filled with nutella and topped with whipped cream. It was so good. It was a little messy there at the end, but I didn't care. You could put Nutella on cardboard and I'd probably eat it. \n\nThe atmosphere is interesting. The decor does leave a little to be desired, but since they are just starting out, it doesn't bother me too much. They were playing some kick-ass music, I heard Adele, N*SYNC, and even some Shaggy. I was not mad about the music. \n\nAll in all, my Pizza Cono experience was everything I wanted it to be. I will definitely be back. I think this little company has a lot of potential and I can't wait to see them grow."
1,"I was actually suprised when I went into this bar. I thought it would be better....is that wrong to say?!?!?! The ratio of guys to girls was at least 15 to 1. Which is fine and all but I can see why they offered free shots to girls. No cover to enter on the Thursday night I visited. And you could open a lingerie shop with the amount of bras hanging from the ceiling. The hot bartender with the awesome abs (she must have had ribs taken out and it is VERY clear she's never had a baby) was worth checking out, but that's pretty much it. I didn't get a drink at this stop so I can't comment on the price."
1,"Last time I ate here, I saw roaches running around. And that was the last time I ate there, food was blah, service was blah, I'm surprised the roaches even stick around."
2,Sushi was good but not amazing and for the price it should have been spectacular. Good service and decent crowd. Really expensive!
3,"I went today for lunch (Saturday) with my mom. The place was packed, but we found a table, and the service was fast, considering. I thought the food was great (Classic Smashburger, and we split some haystack onions and rosemary fries). My mom thought it was way too salty, but mine was fine.\n\nI would have given five stars, but here it is several hours later and I feel like I've been heavily dosed with MSG. Their menu says they don't use it, but their food is the only thing out of the ordinary that I've eaten today, and I can't get enough water and I feel hungover. My rings are tight and my mouth has that weird swollen tingly feeling that I only get from consuming MSG.\n\nGreat food, great service, not so great feeling later."
3,"We did sign up for this 24 hour deal and were able to cover four buffets. \n\nFirst stop was Caesars Palace for dinner; we were charged an additional $25.00 which was a big surprise since we were told earlier that it would be $15 extra. Fresh oysters were meh, although the snow crabs and shrimp were quite good.  We had a very friendly waiter who served us drinks.  In terms of ambiance, this was probably the best buffet.  Wait was 20 minutes at 5:30 p.m.on a weekday.\n\nWe went to Harrah's at 9:45 p.m.on  the same night.  They close at 10:00 p.m. So what was left was stale and and unappetizing.  However, I had one of the best shu-mai which was hidden under a bamboo basket which nobody knew was there.  Here again, the waiter was friendly and although we did not eat much, it was an okay meal.\n\nWe stood in line for 30 minutes the next day for breakfast at Le Village Buffet at Paris. They serve OJ's in a large glass and a pot of coffee to accompany your meal.  Good selection of breakfast fare, but I was impressed with their fresh fruits ~ sweetest pineapples and strawberries and juicy cantaloupes and melons.\n\nWe ventured to the Emperor's buffet at the Quad Resort, but found out that their buffet is for lunch only.  We also checked out Spice Market at PH and after reading the yelp reviews, we decided to go back to Le Village at Paris for dinner for our fourth buffet as time was ticking by.\n\nAgain we had a very friendly waitress at Le Village and we enjoyed our last dinner buffet.\n\nWould I do this deal again?  Yes, maybe if you choose the kind of foods that you like and do not indulge in the \""extras\"" and if you don't mind waiting in lines. Overall, due to the weekday stay, our wait was relatively short and service was excellent."
0,"Was craving sushi and decided to give this place a try. I was really reluctant since this restaurant serves Italian , Korean and Japanese. \n\nIt took forever for the server to show up after we were seated, so an automatic minus one star for that. \n\nAnd then when the waiter decided to come by , he was in an extreme hurry. \n\nOrdered the sushi combo, added a miso soup and bowl of steamed rice. Also ordered the philly roll. \n\nWaited forever to get a refill for my drink forever. The only thing that they were fast at was giving us the bill, before we even finished eating!!!\n\nThe quality of the sushi was really bad, rice portion was lacking, the rolls were falling off and overstuffed with bland an unfresh generic seafood.\n\nThey forgot to get me my bowl of rice, this place is the worst sushi place ever. We also noticed that the people preparing the sushi were of Hispanic origin. That explains the sushi quality but it doesn't explain the jack of customer service."
4,"Ocean Floor offers an extensive selection of fish and supplies.  \n\nBeautiful tropical fish make this pet shop as fun as an aquarium you'd pay to gain entry to view.  Friendly, knowledgeable staff make really make this the number one place to buy fish in the valley."
3,This is the third time going.  It's clean and relaxing.  I've been going to Michael and he is very good.  I tell him the areas I need work on and he gets the knots out. I go there weekly and never have any problem tipping more than normal.
4,"Love this place, so glad to have a veg friendly cafe for when I'm in town visiting fam! Love the POM milk in my coffee...and the rest of the menu,well, I pretty much wanna eat it all! :)\n\nAlso, very friendly staff which is always a huge plus."
1,"Dang it, Zizi's! I did not want to be the big bad omnivore pissing in all the happy vegitarian's Cheerios. \n\nI wanted to loveyou so much that I finished lunch questioning whether I ever really needed to eat meat again. I purposely did not order a meat substitute dish for fear I would compare it to actual meat and not judge it on its own merits. But, man, my Mushroom Patty sub was capital b Bland. It didn't taste like mushrooms or carrots or spices, all of which your menu says are what make it. It DID taste like mayonaise (or probably Vegenaise) which the menu mentions nowhere, though I wish it did because I would have asked for it to be omitted. I even tried taking it off the sandwich so I could taste it apart from the bread, lettuce, onions and slightly underripe tomato. Still nothing. Sure it was filling but wheres the fun in that.\n\nThere were some high points. The wheat bread was delicious and the lettuce was some of the best i have had. I also appreciated that the onion were cut thin, presumably as to not overpower the minimal flavor the patty had. All this sort of amounts to the homliest girl at a party wearing a really killer dress, though.\n\nOne thing I know is that I'm going back for sure. I will consult with some friends who love Zizi's so much. I will find out what will wow me and I will order it. Because I know in my heart of hearts that they must be better than what I've seen."
4,"Wow.\nWow.\nWow.\n\nCavecreek isn't exactly a culinary destination but Cafe Bink is a step above the rest.  Set into \""downtown\"" Cavecreek (really just a quaint strip mall...but don't let that dissuade you), Cafe Binks has a premier setting in front of Black mountain and sunsets are just unreal while sitting on the patio.  The food is fantastic and the beer list is suprisingly delicious as well with breweries such as Dogfish Head.  The food is very much like homecooked, only if mom switched up the bacon for pork belly and manwiches for the best damn meat loaf EVER!  Coupled with the views and the comfortable desert evening temps, this place is phenomenal.  \n\nSure you can go to the original Binkley's down the street if you want a little more well to do atmosphere, but for a casual meal and drink Cafe Bink is it.  Tell all your friends that the best meal you've had in a while was at a strip mall."
1,"Very short review, Village Inn let down today. It was Wednesday, which means it was free pie day. Usually when you're done with the meal, or when they bring out your food, they'd either ask you, \""are you getting a free slice of pie today?\"" This is probably the first time it has happened. A free pie wasn't even mentioned. I didn't just order a drink to get a free slice of pie, I ordered a full breakfast item with a coffee."
4,"Happy Hour until 7pm- this is fantastic, many places end HH at 6pm so this was a nice bonus.  1/2 price appetizers as well.  We had the deviled eggs, lamb chops and chicken wings.  It was a lot of food with a lot of great flavors!  The lamb chops were delicious, cooked perfectly and had the perfect amount of seasoning.  \n\nThe crowd for a Tuesday was mellow, there was live music.  \n\nA great spot for a meal or just drinks.  The Garage may be one of my new favorite picks!"
3,REALLY good. If their guacamole was as good as Chipotle's they would be five stars for sure
0,"I am basing my rating on my attempt to eat at Pamplemousse.  I was just visiting for the week and I've eaten at the Pamplemousse in Del Mar (San Diego County), so I wanted to try one in Vegas.  We showed up for lunch after seeing the sign that says open for lunch.  We walk up to the door and it's locked.  We see through the window that there is a sign that says, \""open for lunch\"" but no one is coming to the door.  So we walk back to the car and try calling the number.  A women answers and tells us that they are open for lunch except on Wednesday's.  As we are leaving, someone comes out and puts a sign on the door to say they aren't serving lunch (now they tell us!)\n\nO.K., these things happen so we decide to give it another try on Thursday.  We drive all the way back up to the restaurant and sure enough the door is open and we walk in.  No one is around.  No one in the restaurant, no one answering the phone after the 8th ring and no one to greet us.  So we are standing there at the podium for about 5 minutes, we even grab our own menu's just to get the jump on the ordering.  As we are standing there we hear people in the kitchen but still no one comes out.  Finally, we decided if this is how it is before we even get seated than we had enough.  So we left. \n\nNeedless to say, we really felt that this experience was inexcusable!"
0,"Poorly executed. $10 admission that got u.... nothing. Ridiculous $$$$ food, 4 hour lines, many trucks out of food at 6pm!"
