,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
29309,43,20000,OWN,15.0,EDUCATION,A,5000,7.14,0,0.25,N,15
21985,28,81000,RENT,13.0,VENTURE,A,6225,7.9,0,0.08,N,7
3083,24,30000,RENT,2.0,DEBTCONSOLIDATION,C,3350,14.72,0,0.11,Y,2
27802,30,35576,RENT,14.0,EDUCATION,C,19000,13.72,1,0.53,N,7
923,22,36500,RENT,0.0,VENTURE,A,18725,6.54,1,0.51,N,3
32252,42,45000,RENT,1.0,MEDICAL,B,18200,10.83,1,0.4,N,16
19186,28,66000,RENT,12.0,PERSONAL,D,2475,15.05,1,0.04,Y,8
4653,22,42000,MORTGAGE,6.0,MEDICAL,A,3000,6.03,0,0.07,N,2
22070,34,105000,RENT,3.0,MEDICAL,A,7000,9.63,0,0.07,N,10
29887,40,40008,OWN,20.0,PERSONAL,B,12000,11.71,0,0.3,N,15
28285,35,30000,RENT,0.0,MEDICAL,A,6475,5.42,0,0.22,N,6
15577,23,147000,MORTGAGE,2.0,MEDICAL,B,24000,10.99,0,0.16,N,3
3447,26,30576,MORTGAGE,10.0,MEDICAL,D,3000,14.46,1,0.1,Y,2
20611,27,36000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,12500,6.03,1,0.35,N,7
15128,24,123000,MORTGAGE,6.0,PERSONAL,C,8000,12.68,0,0.07,N,4
16291,24,40000,MORTGAGE,2.0,VENTURE,B,2500,9.99,0,0.06,N,3
29933,36,24168,RENT,2.0,MEDICAL,C,9925,13.06,1,0.41,N,13
28926,33,90000,MORTGAGE,4.0,EDUCATION,C,12000,12.98,0,0.13,N,5
4748,21,30000,RENT,2.0,PERSONAL,D,5000,14.96,1,0.17,N,2
29283,39,119000,RENT,3.0,DEBTCONSOLIDATION,B,22000,11.49,0,0.18,N,12
24068,28,38000,RENT,0.0,DEBTCONSOLIDATION,A,10000,8.49,0,0.26,N,7
22320,29,54000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,12000,9.32,0,0.22,N,7
25341,30,25716,RENT,1.0,PERSONAL,C,3000,13.72,0,0.12,N,10
7105,24,51500,MORTGAGE,6.0,MEDICAL,A,4000,7.51,0,0.08,N,2
19219,27,31000,OWN,3.0,HOMEIMPROVEMENT,B,5500,10.65,0,0.18,N,7
12474,21,45000,RENT,0.0,EDUCATION,C,12000,11.97,0,0.27,N,3
7658,23,48000,MORTGAGE,7.0,DEBTCONSOLIDATION,D,16800,14.59,1,0.35,N,2
3802,26,32400,MORTGAGE,10.0,MEDICAL,D,10000,,1,0.31,Y,4
27895,29,6000,RENT,0.0,HOMEIMPROVEMENT,A,3250,8.59,1,0.54,N,9
1494,24,27000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,7500,10.39,0,0.28,N,2
496,21,18701,MORTGAGE,0.0,PERSONAL,D,4200,14.11,1,0.22,Y,4
4545,24,40000,RENT,0.0,EDUCATION,A,4850,6.62,0,0.12,N,2
19879,28,36000,MORTGAGE,4.0,VENTURE,B,2400,10.71,0,0.07,N,7
4558,26,96000,RENT,11.0,HOMEIMPROVEMENT,E,10000,19.69,0,0.1,Y,3
1021,26,60000,RENT,2.0,HOMEIMPROVEMENT,D,18000,16.29,1,0.3,Y,2
24821,27,90000,RENT,4.0,HOMEIMPROVEMENT,A,10000,7.49,0,0.11,N,10
8221,22,33000,RENT,2.0,EDUCATION,B,7500,,0,0.23,N,4
18678,28,82000,RENT,12.0,VENTURE,G,16750,20.11,1,0.2,Y,10
18210,34,16800,OWN,0.0,PERSONAL,C,1600,13.72,0,0.1,Y,5
20354,32,40000,MORTGAGE,16.0,DEBTCONSOLIDATION,A,16000,5.99,0,0.4,N,10
10337,24,67000,OWN,2.0,MEDICAL,B,16000,12.69,0,0.24,N,4
31288,37,42000,RENT,3.0,VENTURE,A,3000,7.51,0,0.07,N,13
24035,28,69000,MORTGAGE,2.0,EDUCATION,A,10000,8.94,0,0.14,N,8
18844,27,27000,RENT,11.0,EDUCATION,B,1500,10.36,0,0.06,N,5
726,26,75000,RENT,3.0,EDUCATION,A,20000,,0,0.27,N,3
3870,22,36000,RENT,0.0,PERSONAL,A,4000,8.94,0,0.11,N,4
4018,23,58320,RENT,4.0,MEDICAL,B,4000,10.37,0,0.07,N,2
22171,35,53000,OWN,1.0,PERSONAL,C,10000,15.27,0,0.19,Y,6
28069,27,49200,MORTGAGE,4.0,HOMEIMPROVEMENT,A,2500,5.42,0,0.05,N,10
18158,30,15600,MORTGAGE,,DEBTCONSOLIDATION,A,6250,5.79,1,0.4,N,6
16090,22,17280,RENT,0.0,VENTURE,D,3500,,1,0.2,Y,4
11249,21,72252,MORTGAGE,0.0,VENTURE,A,8000,6.99,0,0.11,N,2
21704,33,49000,RENT,2.0,VENTURE,B,6000,10.99,0,0.12,N,6
10618,23,69500,OWN,4.0,VENTURE,A,16800,7.51,0,0.24,N,3
8606,22,25000,RENT,6.0,EDUCATION,B,8000,11.36,1,0.32,N,2
14825,24,115500,MORTGAGE,8.0,HOMEIMPROVEMENT,A,10000,7.75,0,0.09,N,4
13326,22,90000,MORTGAGE,6.0,EDUCATION,B,6400,9.88,0,0.07,N,3
260,23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2
30238,36,44000,RENT,2.0,HOMEIMPROVEMENT,E,6000,,1,0.14,N,12
12725,24,69500,RENT,8.0,PERSONAL,B,12000,10.65,0,0.17,N,2
10451,25,68000,OWN,8.0,HOMEIMPROVEMENT,B,6000,12.42,0,0.09,N,4
10096,23,40574,RENT,2.0,HOMEIMPROVEMENT,D,9500,14.74,1,0.23,Y,4
13987,24,62004,RENT,6.0,VENTURE,A,14000,8.59,0,0.23,N,4
29435,36,29000,RENT,9.0,MEDICAL,B,1200,12.42,0,0.04,N,15
11225,25,52000,RENT,9.0,EDUCATION,D,10000,,0,0.19,N,2
1638,24,28000,OTHER,0.0,EDUCATION,B,9000,10.83,1,0.32,N,3
14216,24,50000,RENT,4.0,DEBTCONSOLIDATION,A,14400,,0,0.29,N,2
12661,25,62204,RENT,3.0,VENTURE,D,12000,14.11,0,0.19,Y,2
2741,23,47000,RENT,7.0,DEBTCONSOLIDATION,D,12000,16.29,1,0.26,Y,3
11017,25,71000,OWN,,VENTURE,A,3250,5.79,0,0.05,N,2
194,25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2
6449,23,34255,RENT,7.0,VENTURE,G,6000,22.11,1,0.18,Y,3
23647,32,46000,RENT,4.0,MEDICAL,A,9000,7.51,0,0.2,N,9
21344,30,60000,RENT,11.0,DEBTCONSOLIDATION,A,5500,7.51,0,0.09,N,10
4435,22,41300,RENT,6.0,EDUCATION,B,4800,11.89,0,0.12,N,3
6133,23,21600,RENT,2.0,MEDICAL,D,6000,14.42,1,0.28,N,4
30953,42,50426,RENT,0.0,PERSONAL,A,4200,7.49,0,0.08,N,11
6412,25,49716,MORTGAGE,6.0,MEDICAL,A,8000,9.32,0,0.16,N,2
4293,21,28416,RENT,6.0,PERSONAL,A,4600,,0,0.16,N,2
7392,22,30004,RENT,6.0,MEDICAL,B,6600,10.33,0,0.22,N,2
27004,28,91800,MORTGAGE,4.0,MEDICAL,D,20000,15.28,1,0.19,N,6
11034,23,71004,OWN,1.0,EDUCATION,C,15000,13.47,0,0.21,Y,3
25778,27,90000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10000,7.14,0,0.11,N,5
26299,31,76500,RENT,1.0,EDUCATION,B,14000,11.49,0,0.18,N,10
17817,26,34000,RENT,5.0,VENTURE,A,7500,7.9,0,0.22,N,4
26414,27,88970,MORTGAGE,5.0,DEBTCONSOLIDATION,B,20000,11.99,1,0.22,N,6
7342,22,52500,MORTGAGE,3.0,DEBTCONSOLIDATION,B,4000,10.65,0,0.08,N,4
2819,26,55000,RENT,1.0,DEBTCONSOLIDATION,C,3000,,0,0.05,N,2
11025,26,69000,RENT,6.0,HOMEIMPROVEMENT,A,4200,6.62,0,0.06,N,3
9201,25,60000,OWN,9.0,HOMEIMPROVEMENT,C,3000,13.79,0,0.05,Y,2
31394,39,90000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,22000,12.67,0,0.24,Y,15
26058,31,95000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,15000,11.14,0,0.16,N,5
31113,40,77000,MORTGAGE,9.0,EDUCATION,B,12000,,0,0.16,N,12
3979,26,39990,MORTGAGE,3.0,HOMEIMPROVEMENT,C,2400,14.27,0,0.06,Y,2
29285,48,19200,OWN,1.0,EDUCATION,C,7000,,1,0.36,Y,12
7770,23,36000,RENT,1.0,EDUCATION,A,7000,7.9,0,0.19,N,4
21555,28,32000,RENT,0.0,PERSONAL,B,6000,,0,0.19,N,5
18766,30,33000,RENT,4.0,MEDICAL,C,1000,14.79,0,0.03,N,10
3349,26,36000,OWN,,PERSONAL,B,15000,10.25,0,0.42,N,2
14540,25,110000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,5500,6.62,0,0.05,N,2
23542,31,58000,MORTGAGE,15.0,DEBTCONSOLIDATION,E,16000,,1,0.28,N,8
23826,29,60000,RENT,1.0,HOMEIMPROVEMENT,C,9600,11.66,0,0.16,Y,6
1927,22,62000,RENT,4.0,EDUCATION,C,2000,15.27,0,0.03,N,2
10745,24,70000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,7000,9.99,0,0.1,N,4
2835,23,58500,RENT,2.0,DEBTCONSOLIDATION,B,3000,9.88,0,0.05,N,2
17261,25,75000,RENT,0.0,DEBTCONSOLIDATION,B,20000,10.38,0,0.27,N,2
26440,27,102000,MORTGAGE,1.0,PERSONAL,B,16000,11.99,0,0.16,N,5
30608,37,45000,RENT,0.0,EDUCATION,A,8000,9.63,0,0.18,N,17
15685,25,154000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,12000,10.99,0,0.08,N,3
8863,22,60000,MORTGAGE,1.0,PERSONAL,A,10000,5.42,0,0.17,N,2
16999,23,78000,RENT,7.0,MEDICAL,A,8100,7.29,0,0.1,N,2
7132,23,65000,RENT,0.0,VENTURE,B,7000,10.71,0,0.11,N,2
4802,25,33996,RENT,0.0,VENTURE,A,5000,9.38,0,0.15,N,3
3152,26,33000,RENT,1.0,VENTURE,B,3500,10.25,0,0.11,N,2
11286,23,55000,RENT,7.0,PERSONAL,B,10000,10.59,0,0.18,N,4
28929,30,42000,OWN,,MEDICAL,C,4000,15.23,0,0.1,Y,5
